,baseline,allstar_flag-true,allstar_flag-false
Mean,4.46,10.4,4.16
Median,0.0,0.0,0.0
Standard Deviation,20.09,36.22,18.86
Minimum,0.0,0.0,0.0
Maximum,163.0,163.0,162.0
Count,112106.0,5429.0,106677.0
