,baseline,allstar_flag-true,allstar_flag-false
Mean,0.07,0.37,0.06
Median,0.0,0.0,0.0
Standard Deviation,0.62,1.43,0.54
Minimum,0.0,0.0,0.0
Maximum,22.0,22.0,18.0
Count,112106.0,5429.0,106677.0
