,baseline,allstar_flag-true,allstar_flag-false
Mean,4.44,11.33,4.08
Median,0.0,0.0,0.0
Standard Deviation,20.83,38.14,19.48
Minimum,0.0,0.0,0.0
Maximum,165.0,165.0,164.0
Count,112106.0,5429.0,106677.0
