,baseline,allstar_flag-true,allstar_flag-false
Mean,2.39,8.12,2.1
Median,0.0,8.0,0.0
Standard Deviation,4.43,6.97,4.04
Minimum,0.0,0.0,0.0
Maximum,36.0,36.0,32.0
Count,112104.0,5429.0,106675.0
