,baseline,allstar_flag-true,allstar_flag-false
Mean,0.02,0.1,0.02
Median,0.0,0.0,0.0
Standard Deviation,0.25,0.55,0.22
Minimum,0.0,0.0,0.0
Maximum,15.0,11.0,15.0
Count,112106.0,5429.0,106677.0
