,baseline,allstar_flag-true,allstar_flag-false
Mean,0.14,0.74,0.11
Median,0.0,0.0,0.0
Standard Deviation,0.86,2.1,0.73
Minimum,0.0,0.0,0.0
Maximum,21.0,21.0,20.0
Count,112106.0,5429.0,106677.0
