,baseline,allstar_flag-true,allstar_flag-false
Mean,3.97,3.09,4.02
Median,4.0,3.0,4.0
Standard Deviation,2.22,1.93,2.23
Minimum,1.0,1.0,1.0
Maximum,13.0,10.0,13.0
Count,112106.0,5429.0,106677.0
