,baseline,allstar_flag-true,allstar_flag-false
Mean,19.63,56.29,17.77
Median,4.0,67.0,4.0
Standard Deviation,28.54,42.39,26.32
Minimum,0.0,0.0,0.0
Maximum,198.0,167.0,198.0
Count,112104.0,5429.0,106675.0
