,baseline,allstar_flag-true,allstar_flag-false
Mean,0.0,0.01,0.0
Median,0.0,0.0,0.0
Standard Deviation,0.06,0.14,0.05
Minimum,0.0,0.0,0.0
Maximum,5.0,3.0,5.0
Count,112106.0,5429.0,106677.0
