,baseline,allstar_flag-true,allstar_flag-false
Mean,4.47,10.42,4.16
Median,0.0,0.0,0.0
Standard Deviation,19.84,34.88,18.7
Minimum,0.0,0.0,0.0
Maximum,162.0,162.0,162.0
Count,112106.0,5429.0,106677.0
