,baseline,allstar_flag-true,allstar_flag-false
Mean,36.48,96.71,33.13
Median,15.0,123.0,13.0
Standard Deviation,46.85,57.21,43.85
Minimum,0.0,0.0,0.0
Maximum,164.0,164.0,164.0
Count,103144.0,5429.0,97715.0
