,baseline,allstar_flag-true,allstar_flag-false
Mean,0.73,3.82,0.58
Median,0.0,0.0,0.0
Standard Deviation,2.29,6.09,1.76
Minimum,0.0,0.0,0.0
Maximum,120.0,120.0,38.0
Count,112104.0,5429.0,106675.0
